species	go	kegg	dose	msigdb	reactome
Anopheles	org.Ag.eg.db	aga			
Arabidopsis	org.At.tair.db	ath			
Bovine	org.Bt.eg.db	bta			
Worm	org.Ce.eg.db	cel			celegans
Canine	org.Cf.eg.db	cfa			
Fly	org.Dm.eg.db	dme			fly
Zebrafish	org.Dr.eg.db	dre			zebrafish
EcoliK12	org.EcK12.eg.db	eco			
EcoliSakai	org.EcSakai.eg.db	ecs			
Chicken	org.Gg.eg.db	gga			
Human	org.Hs.eg.db	hsa			human
Mouse	org.Mm.eg.db	mmu			mouse
Rhesus	org.Mmu.eg.db	mcc			
Malaria	org.Pf.plasmo.db	pfa			
Chimp	org.Pt.eg.db	ptr			
Rat	org.Rn.eg.db	rno			rat
Yeast	org.Sc.sgd.db	sce			yeast
Pig	org.Ss.eg.db	ssc			
Xenopus	org.Xl.eg.db	xla			
